index,name,test_id,group,nan_count_training,min_training,p01_training,p05_training,median_training,p95_training,p99_training,max_training
0,test0_static_spiral_acceleration_iqr,0,acceleration,1,523.5502661743992,527.9766981464143,557.534032544066,714.1461418278564,2818.352298366456,9601.087198386684,11582.349170518648
1,test0_static_spiral_acceleration_rms,0,acceleration,1,701.2576585454077,707.3384824459104,729.996485264378,1079.6872001013364,4194.9382638098405,13656.110686045431,13671.843459572792
2,test0_static_spiral_curvature_median,0,curvature,1,6.341022283265289e-11,9.802656243631262e-11,0.008781938210077325,0.0268181548364857,0.10304686553422045,0.11098956623927218,0.1187972983312925
3,test0_static_spiral_curvature_p90,0,curvature,1,0.0319086727723912,0.045849513375923204,0.058772434969509825,0.19848954032758298,0.7848920520625382,1.4110613858656855,1.5194217274786204
4,test0_static_spiral_duration_seconds,0,duration,1,3.690909090909091,3.9499999999999997,7.1454545454545455,18.154545454545456,49.081818181818186,93.79545454545455,103.43636363636364
5,test0_static_spiral_grip_angle_circular_concentration,0,grip,1,0.9042925298478324,0.9194980464433103,0.9501506520432154,0.9755553559319461,0.989671201984704,0.9920165064569396,0.9922276471967648
6,test0_static_spiral_grip_angle_circular_std,0,grip,1,0.1249216951791763,0.12661014703926146,0.144096513161003,0.22247864122751781,0.3196434082986088,0.40918175702586335,0.4485585267746061
7,test0_static_spiral_grip_angle_rate_abs_mean,0,grip,1,0.5581715982692146,0.587622143813144,0.6723828247015967,1.1617701693899227,3.8700510795525114,5.693136732880222,5.7916641971954785
8,test0_static_spiral_grip_angle_rate_iqr,0,grip,1,0.5526875964648568,0.6108652381976967,0.8841789509237027,1.6968478838833718,4.023607257722651,5.195665975272636,5.813348905860844
9,test0_static_spiral_jerk_iqr,0,jerk,1,34981.781838938994,36034.82081745988,36977.101934028666,43155.15840412926,118578.76410510269,429872.7760436835,462117.5409487616
10,test0_static_spiral_jerk_rms,0,jerk,1,53621.638389645006,53879.68927882571,55456.449014382466,65795.75062136537,185491.25926306905,587353.3965141932,592712.361196108
11,test0_static_spiral_motion_peak_frequency_3_8hz,0,motion,1,3.002764340013822,3.0059998475126086,3.021197169382588,3.2116812961910957,4.941869988317657,7.247798360157911,7.910112359550563
12,test0_static_spiral_motion_power_ratio_3_8hz,0,motion,1,0.0302706816870389,0.0324308391441629,0.040830049993518455,0.13557601420604115,0.3872218771777722,0.6491015651907612,0.7924844563409886
13,test0_static_spiral_motion_power_ratio_4_6hz,0,motion,1,0.0050373259587723,0.00609161016574785,0.009460605713000475,0.0343681519616863,0.09863063957840093,0.3145998720054404,0.5795761413095787
14,test0_static_spiral_motion_spectral_entropy_1_25hz,0,motion,1,0.4083896020681008,0.4469824739979865,0.4717481802171198,0.6345424629283257,0.7131196843412048,0.7559051048507552,0.7683477265813717
15,test0_static_spiral_path_length,0,path,1,1349.5902845585338,1449.997228515399,1882.576785684084,2004.0320198295194,2915.8184982803064,4071.705857885357,4215.228980235176
16,test0_static_spiral_pressure_iqr,0,pressure,1,19.16161616161628,26.255501443000696,34.27313311688263,95.19696969696918,224.24350649350663,248.46717171717165,266.77777777777806
17,test0_static_spiral_pressure_median,0,pressure,1,346.8787878787877,347.08658008658,439.5698051948052,685.7146464646465,946.0665584415585,1008.681818181818,1023.0
18,test0_static_spiral_pressure_p90_p10,0,pressure,1,45.62077922077947,58.635497835498285,96.30945165945175,233.22438672438687,576.8818036549576,684.0935793425418,743.6409840368345
19,test0_static_spiral_pressure_peak_frequency_3_8hz,0,pressure,1,3.013698630136986,3.01466662755566,3.0233953479077575,3.317683241145509,6.948701376014152,7.752067967188255,7.910112359550563
20,test0_static_spiral_pressure_power_ratio_3_8hz,0,pressure,1,0.1173139170662034,0.11914770165529695,0.15319580425086007,0.2584809827963137,0.5326646515847405,0.8111661551347118,0.9097052951289336
21,test0_static_spiral_pressure_power_ratio_4_6hz,0,pressure,1,0.0087321340006766,0.024645311794397752,0.035747398427108446,0.07786942242751671,0.19641677304281321,0.40650331702072473,0.6625507988772876
22,test0_static_spiral_pressure_rate_abs_mean,0,pressure,1,65.95287261918688,68.17166544196007,77.0027168455621,151.6339206553203,460.0966558904646,1098.303664053184,1187.388412232015
23,test0_static_spiral_pressure_rate_iqr,0,pressure,1,1.4551915228366852e-11,29.583333333340306,55.71428571428419,119.30555555556293,347.7976190474974,943.5714285714421,1192.142857142877
24,test0_static_spiral_pressure_robust_cv,0,pressure,1,0.0223982808699293,0.03219785266020072,0.04207733261057335,0.13981582178735036,0.4038017041474492,0.43707288581714737,0.5080307072456272
25,test0_static_spiral_pressure_spectral_entropy_1_25hz,0,pressure,1,0.5901998456880619,0.5961377676925474,0.6247159489024441,0.7399173120046896,0.8820899305355795,0.9018359561223682,0.9179590785345488
26,test0_static_spiral_speed_iqr,0,speed,1,19.540584858418097,20.04013759097124,23.642237170542376,67.15296890179371,263.45319058339896,346.5663320507538,359.3924751226551
27,test0_static_spiral_speed_median,0,speed,1,22.00000000000182,22.000000000004547,38.746649823559956,111.42918897240872,293.2518446245648,512.9766118609566,604.6073443287985
28,test0_static_spiral_speed_p90,0,speed,1,44.00000000000728,47.04960356515736,68.71923661295276,174.61277704703906,658.0267436377001,804.4625138008503,934.55717662453
29,test0_static_spiral_speed_robust_cv,0,speed,1,0.3352333754981648,0.35178060586376503,0.382592605311267,0.6227820108010322,1.078478404089573,1.2952563422630368,1.4780930647626065
30,test0_static_spiral_stationary_ratio,0,stationary,1,0.0,0.0,0.0,0.0103020311921696,0.0642664778285449,0.1346258534799734,0.150627195183141
